# control seed=11 started 2026-02-25T19:27:41.063081
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 11 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_11

Epoch 221 | Survival: 0.10 | Target: 0.10 | Reward A: 61.595
Epoch 222 | Survival: 0.20 | Target: 0.20 | Reward A: 47.008
Epoch 223 | Survival: 0.30 | Target: 0.30 | Reward A: 61.179
Epoch 224 | Survival: 0.10 | Target: 0.10 | Reward A: 66.324
Epoch 225 | Survival: 0.10 | Target: 0.10 | Reward A: 58.321
Epoch 226 | Survival: 0.00 | Target: 0.00 | Reward A: 48.165
Epoch 227 | Survival: 0.30 | Target: 0.30 | Reward A: 68.305
Epoch 228 | Survival: 0.10 | Target: 0.10 | Reward A: 59.439
Epoch 229 | Survival: 0.10 | Target: 0.10 | Reward A: 63.259
Epoch 230 | Survival: 0.10 | Target: 0.10 | Reward A: 65.148
Epoch 231 | Survival: 0.00 | Target: 0.00 | Reward A: 49.110
Epoch 232 | Survival: 0.50 | Target: 0.50 | Reward A: 15.023
Epoch 233 | Survival: 0.70 | Target: 0.70 | Reward A: 32.711
Epoch 234 | Survival: 0.80 | Target: 0.80 | Reward A: 25.591
Epoch 235 | Survival: 0.30 | Target: 0.30 | Reward A: 53.877
Epoch 236 | Survival: 0.30 | Target: 0.30 | Reward A: 74.542
Epoch 237 | Survival: 0.20 | Target: 0.20 | Reward A: 38.192
Epoch 238 | Survival: 0.00 | Target: 0.00 | Reward A: 37.305
Epoch 239 | Survival: 0.10 | Target: 0.10 | Reward A: 48.901
Epoch 240 | Survival: 0.20 | Target: 0.20 | Reward A: 30.786
Epoch 241 | Survival: 0.10 | Target: 0.10 | Reward A: 53.541
Epoch 242 | Survival: 0.10 | Target: 0.10 | Reward A: 54.644
Epoch 243 | Survival: 0.50 | Target: 0.50 | Reward A: 38.818
Epoch 244 | Survival: 0.10 | Target: 0.10 | Reward A: 44.606
Epoch 245 | Survival: 0.10 | Target: 0.10 | Reward A: 45.485
Epoch 246 | Survival: 0.50 | Target: 0.50 | Reward A: 50.524
Epoch 247 | Survival: 0.30 | Target: 0.30 | Reward A: 35.431
Epoch 248 | Survival: 0.10 | Target: 0.10 | Reward A: 32.543
Epoch 249 | Survival: 0.60 | Target: 0.60 | Reward A: 54.705
Epoch 250 | Survival: 0.00 | Target: 0.00 | Reward A: 41.660
Epoch 251 | Survival: 0.00 | Target: 0.00 | Reward A: 54.117
Epoch 252 | Survival: 0.60 | Target: 0.60 | Reward A: 28.296
Epoch 253 | Survival: 0.00 | Target: 0.00 | Reward A: 23.073
Epoch 254 | Survival: 0.20 | Target: 0.20 | Reward A: 65.091
Epoch 255 | Survival: 0.20 | Target: 0.20 | Reward A: 37.194
Epoch 256 | Survival: 0.20 | Target: 0.20 | Reward A: 35.519
Epoch 257 | Survival: 0.50 | Target: 0.50 | Reward A: 44.463
Epoch 258 | Survival: 0.50 | Target: 0.50 | Reward A: 45.835
Epoch 259 | Survival: 0.10 | Target: 0.10 | Reward A: 56.232
Epoch 260 | Survival: 0.40 | Target: 0.40 | Reward A: 62.840
Epoch 261 | Survival: 0.00 | Target: 0.00 | Reward A: 36.417
Epoch 262 | Survival: 0.00 | Target: 0.00 | Reward A: 46.478
Epoch 263 | Survival: 0.00 | Target: 0.00 | Reward A: 20.107
Epoch 264 | Survival: 0.20 | Target: 0.20 | Reward A: 34.901
Epoch 265 | Survival: 0.80 | Target: 0.80 | Reward A: 22.026
Epoch 266 | Survival: 0.20 | Target: 0.20 | Reward A: 45.075
Epoch 267 | Survival: 0.00 | Target: 0.00 | Reward A: 24.443
Epoch 268 | Survival: 0.10 | Target: 0.10 | Reward A: 60.280
Epoch 269 | Survival: 0.20 | Target: 0.20 | Reward A: 65.019
Epoch 270 | Survival: 0.00 | Target: 0.00 | Reward A: 58.946
Epoch 271 | Survival: 0.30 | Target: 0.30 | Reward A: 57.489
Epoch 272 | Survival: 0.00 | Target: 0.00 | Reward A: 41.762
Epoch 273 | Survival: 0.20 | Target: 0.20 | Reward A: 48.071
Epoch 274 | Survival: 0.00 | Target: 0.00 | Reward A: 64.420
Epoch 275 | Survival: 0.40 | Target: 0.40 | Reward A: 60.435
Epoch 276 | Survival: 0.20 | Target: 0.20 | Reward A: 63.165
Epoch 277 | Survival: 0.40 | Target: 0.40 | Reward A: 58.708
Epoch 278 | Survival: 0.20 | Target: 0.20 | Reward A: 41.932
Epoch 279 | Survival: 0.00 | Target: 0.00 | Reward A: 60.275
Epoch 280 | Survival: 0.00 | Target: 0.00 | Reward A: 39.764
Epoch 281 | Survival: 0.00 | Target: 0.00 | Reward A: 60.763
Epoch 282 | Survival: 0.20 | Target: 0.20 | Reward A: 42.683
Epoch 283 | Survival: 0.20 | Target: 0.20 | Reward A: 43.098
Epoch 284 | Survival: 0.00 | Target: 0.00 | Reward A: 67.543
Epoch 285 | Survival: 0.20 | Target: 0.20 | Reward A: 41.513
Epoch 286 | Survival: 0.00 | Target: 0.00 | Reward A: 55.097
Epoch 287 | Survival: 0.10 | Target: 0.10 | Reward A: 62.588
Epoch 288 | Survival: 0.00 | Target: 0.00 | Reward A: 62.535
Epoch 289 | Survival: 0.00 | Target: 0.00 | Reward A: 36.337
Epoch 290 | Survival: 0.10 | Target: 0.10 | Reward A: 47.516
Epoch 291 | Survival: 0.00 | Target: 0.00 | Reward A: 25.459
Epoch 292 | Survival: 0.00 | Target: 0.00 | Reward A: 22.570
Epoch 293 | Survival: 0.40 | Target: 0.40 | Reward A: 68.772
Epoch 294 | Survival: 0.30 | Target: 0.30 | Reward A: 57.632
Epoch 295 | Survival: 0.00 | Target: 0.00 | Reward A: 14.546
Epoch 296 | Survival: 0.20 | Target: 0.20 | Reward A: 36.176
Epoch 297 | Survival: 0.20 | Target: 0.20 | Reward A: 44.756
Epoch 298 | Survival: 0.10 | Target: 0.10 | Reward A: 34.886
Epoch 299 | Survival: 0.30 | Target: 0.30 | Reward A: 33.111
Epoch 300 | Survival: 0.60 | Target: 0.60 | Reward A: 34.481
Epoch 301 | Survival: 0.20 | Target: 0.20 | Reward A: 59.221
Epoch 302 | Survival: 0.10 | Target: 0.10 | Reward A: 66.518
Epoch 303 | Survival: 0.10 | Target: 0.10 | Reward A: 68.653
Epoch 304 | Survival: 0.00 | Target: 0.00 | Reward A: 42.332
Epoch 305 | Survival: 0.00 | Target: 0.00 | Reward A: 47.508
Epoch 306 | Survival: 0.20 | Target: 0.20 | Reward A: 66.539
Epoch 307 | Survival: 0.60 | Target: 0.60 | Reward A: 41.905
Epoch 308 | Survival: 0.00 | Target: 0.00 | Reward A: 63.208
Epoch 309 | Survival: 0.10 | Target: 0.10 | Reward A: 34.712
Epoch 310 | Survival: 0.00 | Target: 0.00 | Reward A: 52.727
Epoch 311 | Survival: 0.50 | Target: 0.50 | Reward A: 45.763
Epoch 312 | Survival: 0.70 | Target: 0.70 | Reward A: 43.455
Epoch 313 | Survival: 0.10 | Target: 0.10 | Reward A: 73.115
Epoch 314 | Survival: 0.00 | Target: 0.00 | Reward A: 78.388
Epoch 315 | Survival: 0.00 | Target: 0.00 | Reward A: 60.051
Epoch 316 | Survival: 0.00 | Target: 0.00 | Reward A: 37.443
Epoch 317 | Survival: 0.40 | Target: 0.40 | Reward A: 63.312
Epoch 318 | Survival: 0.50 | Target: 0.50 | Reward A: 59.929
Epoch 319 | Survival: 0.10 | Target: 0.10 | Reward A: 58.315
Epoch 320 | Survival: 0.10 | Target: 0.10 | Reward A: 55.979
Epoch 321 | Survival: 0.00 | Target: 0.00 | Reward A: 38.191
Epoch 322 | Survival: 0.00 | Target: 0.00 | Reward A: 53.050
Epoch 323 | Survival: 0.10 | Target: 0.10 | Reward A: 62.743
Epoch 324 | Survival: 0.10 | Target: 0.10 | Reward A: 67.518
Epoch 325 | Survival: 0.00 | Target: 0.00 | Reward A: 51.874
Epoch 326 | Survival: 0.10 | Target: 0.10 | Reward A: 27.869
Epoch 327 | Survival: 0.00 | Target: 0.00 | Reward A: 37.106
Epoch 328 | Survival: 0.10 | Target: 0.10 | Reward A: 70.628
Epoch 329 | Survival: 0.00 | Target: 0.00 | Reward A: 36.644
Epoch 330 | Survival: 0.10 | Target: 0.10 | Reward A: 42.412
Epoch 331 | Survival: 0.00 | Target: 0.00 | Reward A: 57.106
Epoch 332 | Survival: 0.10 | Target: 0.10 | Reward A: 69.532
Epoch 333 | Survival: 0.10 | Target: 0.10 | Reward A: 33.861
Epoch 334 | Survival: 0.80 | Target: 0.80 | Reward A: 53.968
Epoch 335 | Survival: 0.10 | Target: 0.10 | Reward A: 54.288
Epoch 336 | Survival: 0.00 | Target: 0.00 | Reward A: 39.386
Epoch 337 | Survival: 0.00 | Target: 0.00 | Reward A: 56.698
Epoch 338 | Survival: 0.60 | Target: 0.60 | Reward A: 41.347
Epoch 339 | Survival: 0.00 | Target: 0.00 | Reward A: 56.235
Epoch 340 | Survival: 0.30 | Target: 0.30 | Reward A: 47.516
Epoch 341 | Survival: 0.40 | Target: 0.40 | Reward A: 54.473
Epoch 342 | Survival: 0.10 | Target: 0.10 | Reward A: 33.504
Epoch 343 | Survival: 0.00 | Target: 0.00 | Reward A: 54.286
Epoch 344 | Survival: 0.10 | Target: 0.10 | Reward A: 32.134
Epoch 345 | Survival: 0.00 | Target: 0.00 | Reward A: 22.097
Epoch 346 | Survival: 0.20 | Target: 0.20 | Reward A: 55.801
Epoch 347 | Survival: 0.30 | Target: 0.30 | Reward A: 47.300
Epoch 348 | Survival: 0.10 | Target: 0.10 | Reward A: 41.581
Epoch 349 | Survival: 0.00 | Target: 0.00 | Reward A: 37.677
Epoch 350 | Survival: 0.30 | Target: 0.30 | Reward A: 64.062
